Link,Pilseta,Zemes Tips,Zemes Numurs,Datums,Datu iev.,Cena EUR,Cena m2,Platiba Daudzums,Platiba Mervieniba,Adrese
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/limbazu-pag/hfxkn.html,Limbaži un raj.,Lauksaimniecības zeme,66640100185,['Datums: 20.11.2022 18:49'],11/28/2022,25000,0.42,6,ha.,Mazie Strazdi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ogre-and-reg/ikskiles-l-t/aaado.html,Ogre un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 28.11.2022 15:09'],11/28/2022,25000,1.61,15500,m²,Jesperi 6 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/rezekne-and-reg/kaunatas-pag/ipndi.html,Rēzekne un raj.,Zeme privātmājas būvēšanai,7862 006 0291,['Datums: 31.10.2022 16:22'],11/28/2022,25000,14.85,1683,m²,Rāzna 22 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/talsi-and-reg/dundagas-pag/agofj.html,Talsi un raj.,Zeme privātmājas būvēšanai,88620020112,['Datums: 22.11.2022 08:00'],11/28/2022,25000,8.33,0.3,ha.,Sturisi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/talsi-and-reg/gibulu-pag/jnild.html,Talsi un raj.,Komerciāla apbūve,NA,['Datums: 15.11.2022 09:23'],11/28/2022,25000,2.63,0.95,ha.,Darba iela 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/tukums-and-reg/tukums/ejekg.html,Tukums un raj.,Zeme privātmājas būvēšanai,90010060074,['Datums: 19.11.2022 13:00'],11/28/2022,25000,4.17,6000,m²,Zala4 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valka-and-reg/smiltene/ednkl.html,Valka un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 11.10.2022 11:07'],11/28/2022,25000,17,1471,m²,Avotu iela 10a 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valmiera-and-reg/valmiera/elgcc.html,Valmiera un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 25.11.2022 09:07'],11/28/2022,25000,20.68,1209,m²,Jāņparka iela 6 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ventspils-and-reg/ventspils/bpdpg.html,Ventspils un raj.,Zeme privātmājas būvēšanai,27000200401,['Datums: 15.11.2022 17:20'],11/28/2022,25000,2.24,11142,m²,Doku iela 19 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/daugavpils-and-reg/daugavpils/fbkei.html,Daugavpils un raj.,Zeme privātmājas būvēšanai,44640020251,['Datums: 23.11.2022 08:03'],11/28/2022,24950,9.98,2500,m²,Austrumu 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/kauguri/aadmb.html,Jūrmala,"Vasarnīcas zemes gabals, dārzs",NA,['Datums: 27.11.2022 22:50'],11/28/2022,24500,44.71,548,m²,Грушевая 463 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/gulbene-and-reg/stamerienas-pag/bpile.html,Gulbene un raj.,Lauksaimniecības zeme,50880080369,['Datums: 24.10.2022 19:28'],11/28/2022,24500,0.61,4,ha.,Dūnu Skatu Tornis 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valmiera-and-reg/valmieras-pag/eilph.html,Valmiera un raj.,Zeme privātmājas būvēšanai,96900080495,['Datums: 18.11.2022 21:31'],11/28/2022,24200,23.16,1045,m²,Lauku iela 8 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/bauska-and-reg/iecavas-nov/bohmg.html,Bauska un raj.,Lauksaimniecības zeme,4064 006 0660,['Datums: 14.11.2022 09:12'],11/28/2022,24000,0.4,6,ha.,Zarukalni 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/cesis-and-reg/ligatne/fkckx.html,Cēsis un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 18.11.2022 17:19'],11/28/2022,24000,9.27,2590,m²,Mēness iela 4 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/daugavpils-and-reg/malinovas-pag/eklhg.html,Daugavpils un raj.,Lauksaimniecības zeme,44700050143,['Datums: 24.11.2022 11:05'],11/28/2022,24000,0.48,5,ha.,Net 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/daugavpils-and-reg/daugavpils/ideej.html,Daugavpils un raj.,Komerciāla apbūve,0500-037-1320,['Datums: 11.11.2022 14:24'],11/28/2022,24000,10.74,2235,m²,Ventas un Rubeņu 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/selpils-pag/apmfn.html,Jēkabpils un raj.,Cits,56900030070,['Datums: 03.11.2022 09:48'],11/28/2022,24000,0.8,3,ha.,Atvarnieki 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/skultes-pag/jfhkc.html,Limbaži un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 14.11.2022 14:49'],11/28/2022,24000,40,600,m²,4 Centrala 28 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/skultes-pag/djpfd.html,Limbaži un raj.,Zeme privātmājas būvēšanai,66760130788,['Datums: 06.11.2022 16:23'],11/28/2022,24000,2.88,8346,m²,Birztalas 2 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/skultes-pag/bxheb.html,Limbaži un raj.,Zeme privātmājas būvēšanai,66760130789,['Datums: 06.11.2022 16:23'],11/28/2022,24000,2.86,8394,m²,Vidus prospekts 29 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/madona-and-reg/osupes-pag/fmhfe.html,Madona un raj.,Lauksaimniecības zeme,70820130108,['Datums: 22.11.2022 17:19'],11/28/2022,24000,0.6,4,ha.,Degumnieki 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/preili-and-reg/sutru-pag/hjdef.html,Preiļi un raj.,Lauksaimniecības zeme,76580020076,['Datums: 27.11.2022 20:54'],11/28/2022,23600,0.39,6,ha.,Lipuški 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/jekabpils/hbogb.html,Jēkabpils un raj.,Zeme privātmājas būvēšanai,56010021384,['Datums: 13.11.2022 17:28'],11/28/2022,23500,1.72,13634,m²,Celtnieku iela 3b 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/aizkraukle-and-reg/jaunjelgava/dbcid.html,Aizkraukle un raj.,Zeme privātmājas būvēšanai,32070021819,['Datums: 26.10.2022 18:18'],11/28/2022,23000,7.45,3086,m²,Daugavkrastmalas 
